"Notes","Ten-Year Age Groups","Ten-Year Age Groups Code","Residence State","Residence State Code","Year","Year Code","Sex","Sex Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"55-64 years","55-64","Virginia","51","2021","2021","Male","M",145,549576,26.4,22.1,30.7
,"55-64 years","55-64","Virginia","51","2022","2022","Female","F",83,567119,14.6,11.7,18.1
,"55-64 years","55-64","Virginia","51","2022","2022","Male","M",127,542978,23.4,19.3,27.5
,"55-64 years","55-64","Virginia","51","2023","2023","Female","F",84,564221,14.9,11.9,18.4
,"55-64 years","55-64","Virginia","51","2023","2023","Male","M",154,537337,28.7,24.1,33.2
,"55-64 years","55-64","Virginia","51","2024","2024","Female","F",77,561169,13.7,10.8,17.1
,"55-64 years","55-64","Virginia","51","2024","2024","Male","M",149,534202,27.9,23.4,32.4
,"55-64 years","55-64","Virginia","51","2025 (provisional)","2025","Female","F",87,561169,15.5,12.4,19.1
,"55-64 years","55-64","Virginia","51","2025 (provisional)","2025","Male","M",151,534202,28.3,23.8,32.8
,"55-64 years","55-64","Washington","53","2021","2021","Female","F",29,479556,6.0,4.0,8.7
,"55-64 years","55-64","Washington","53","2021","2021","Male","M",63,473670,13.3,10.2,17.0
,"55-64 years","55-64","Washington","53","2022","2022","Female","F",32,467640,6.8,4.7,9.7
,"55-64 years","55-64","Washington","53","2022","2022","Male","M",75,464425,16.1,12.7,20.2
,"55-64 years","55-64","Washington","53","2023","2023","Female","F",48,463235,10.4,7.6,13.7
,"55-64 years","55-64","Washington","53","2023","2023","Male","M",71,458327,15.5,12.1,19.5
,"55-64 years","55-64","Washington","53","2024","2024","Female","F",35,461785,7.6,5.3,10.5
,"55-64 years","55-64","Washington","53","2024","2024","Male","M",77,457211,16.8,13.3,21.0
,"55-64 years","55-64","Washington","53","2025 (provisional)","2025","Female","F",32,461785,6.9,4.7,9.8
,"55-64 years","55-64","Washington","53","2025 (provisional)","2025","Male","M",50,457211,10.9,8.1,14.4
,"55-64 years","55-64","West Virginia","54","2021","2021","Female","F",27,126157,21.4,14.1,31.1
,"55-64 years","55-64","West Virginia","54","2021","2021","Male","M",23,122637,18.8,11.9,28.1
,"55-64 years","55-64","West Virginia","54","2022","2022","Female","F",26,121841,21.3,13.9,31.3
,"55-64 years","55-64","West Virginia","54","2022","2022","Male","M",33,118945,27.7,19.1,39.0
,"55-64 years","55-64","West Virginia","54","2023","2023","Female","F",15,119254,12.6,7.0,20.7
,"55-64 years","55-64","West Virginia","54","2023","2023","Male","M",31,116082,26.7,18.1,37.9
,"55-64 years","55-64","West Virginia","54","2024","2024","Female","F",16,117252,13.6,7.8,22.2
,"55-64 years","55-64","West Virginia","54","2024","2024","Male","M",30,114178,26.3,17.7,37.5
,"55-64 years","55-64","West Virginia","54","2025 (provisional)","2025","Female","F",18,117252,15.4,9.1,24.3
,"55-64 years","55-64","West Virginia","54","2025 (provisional)","2025","Male","M",37,114178,32.4,22.8,44.7
,"55-64 years","55-64","Wisconsin","55","2021","2021","Female","F",41,415296,9.9,7.1,13.4
,"55-64 years","55-64","Wisconsin","55","2021","2021","Male","M",58,414275,14.0,10.6,18.1
,"55-64 years","55-64","Wisconsin","55","2022","2022","Female","F",53,405941,13.1,9.8,17.1
,"55-64 years","55-64","Wisconsin","55","2022","2022","Male","M",53,406722,13.0,9.8,17.0
,"55-64 years","55-64","Wisconsin","55","2023","2023","Female","F",28,401485,7.0,4.6,10.1
,"55-64 years","55-64","Wisconsin","55","2023","2023","Male","M",65,400218,16.2,12.5,20.7
,"55-64 years","55-64","Wisconsin","55","2024","2024","Female","F",35,394877,8.9,6.2,12.3
,"55-64 years","55-64","Wisconsin","55","2024","2024","Male","M",58,392814,14.8,11.2,19.1
,"55-64 years","55-64","Wisconsin","55","2025 (provisional)","2025","Female","F",39,394877,9.9,7.0,13.5
,"55-64 years","55-64","Wisconsin","55","2025 (provisional)","2025","Male","M",59,392814,15.0,11.4,19.4
,"55-64 years","55-64","Wyoming","56","2021","2021","Female","F",0,37339,0.0,0.0,0.0
,"55-64 years","55-64","Wyoming","56","2021","2021","Male","M",Suppressed,38129,Suppressed,Suppressed,Suppressed
,"55-64 years","55-64","Wyoming","56","2022","2022","Female","F",Suppressed,36085,Suppressed,Suppressed,Suppressed
,"55-64 years","55-64","Wyoming","56","2022","2022","Male","M",Suppressed,36938,Suppressed,Suppressed,Suppressed
,"55-64 years","55-64","Wyoming","56","2023","2023","Female","F",Suppressed,35539,Suppressed,Suppressed,Suppressed
,"55-64 years","55-64","Wyoming","56","2023","2023","Male","M",Suppressed,36049,Suppressed,Suppressed,Suppressed
,"55-64 years","55-64","Wyoming","56","2024","2024","Female","F",Suppressed,34724,Suppressed,Suppressed,Suppressed
,"55-64 years","55-64","Wyoming","56","2024","2024","Male","M",Suppressed,35329,Suppressed,Suppressed,Suppressed
,"55-64 years","55-64","Wyoming","56","2025 (provisional)","2025","Female","F",Suppressed,34724,Suppressed,Suppressed,Suppressed
,"55-64 years","55-64","Wyoming","56","2025 (provisional)","2025","Male","M",10,35329,28.3,13.6,52.1
,"65-74 years","65-74","Alabama","01","2021","2021","Female","F",259,291012,89.0,78.2,99.8
,"65-74 years","65-74","Alabama","01","2021","2021","Male","M",369,250932,147.1,132.0,162.1
,"65-74 years","65-74","Alabama","01","2022","2022","Female","F",261,290974,89.7,78.8,100.6
,"65-74 years","65-74","Alabama","01","2022","2022","Male","M",342,249908,136.9,122.3,151.4
,"65-74 years","65-74","Alabama","01","2023","2023","Female","F",244,296530,82.3,72.0,92.6
,"65-74 years","65-74","Alabama","01","2023","2023","Male","M",336,254393,132.1,118.0,146.2
,"65-74 years","65-74","Alabama","01","2024","2024","Female","F",266,301451,88.2,77.6,98.8
,"65-74 years","65-74","Alabama","01","2024","2024","Male","M",375,258682,145.0,130.3,159.6
,"65-74 years","65-74","Alabama","01","2025 (provisional)","2025","Female","F",267,301451,88.6,77.9,99.2
,"65-74 years","65-74","Alabama","01","2025 (provisional)","2025","Male","M",364,258682,140.7,126.3,155.2
,"65-74 years","65-74","Alaska","02","2021","2021","Female","F",12,32325,37.1,19.2,64.8
,"65-74 years","65-74","Alaska","02","2021","2021","Male","M",14,34101,41.1,22.4,68.9
,"65-74 years","65-74","Alaska","02","2022","2022","Female","F",13,32851,39.6,21.1,67.7
,"65-74 years","65-74","Alaska","02","2022","2022","Male","M",17,34425,49.4,28.8,79.1
,"65-74 years","65-74","Alaska","02","2023","2023","Female","F",10,33914,29.5,14.1,54.2
,"65-74 years","65-74","Alaska","02","2023","2023","Male","M",18,35380,50.9,30.2,80.4
,"65-74 years","65-74","Alaska","02","2024","2024","Female","F",Suppressed,34635,Suppressed,Suppressed,Suppressed
,"65-74 years","65-74","Alaska","02","2024","2024","Male","M",21,35943,58.4,36.2,89.3
,"65-74 years","65-74","Alaska","02","2025 (provisional)","2025","Female","F",Suppressed,34635,Suppressed,Suppressed,Suppressed
,"65-74 years","65-74","Alaska","02","2025 (provisional)","2025","Male","M",21,35943,58.4,36.2,89.3
,"65-74 years","65-74","Arizona","04","2021","2021","Female","F",114,415187,27.5,22.4,32.5
,"65-74 years","65-74","Arizona","04","2021","2021","Male","M",167,367813,45.4,38.5,52.3
,"65-74 years","65-74","Arizona","04","2022","2022","Female","F",121,415285,29.1,23.9,34.3
,"65-74 years","65-74","Arizona","04","2022","2022","Male","M",186,365422,50.9,43.6,58.2
,"65-74 years","65-74","Arizona","04","2023","2023","Female","F",126,428903,29.4,24.2,34.5
,"65-74 years","65-74","Arizona","04","2023","2023","Male","M",184,376033,48.9,41.9,56.0
,"65-74 years","65-74","Arizona","04","2024","2024","Female","F",136,438281,31.0,25.8,36.2
,"65-74 years","65-74","Arizona","04","2024","2024","Male","M",206,384471,53.6,46.3,60.9
,"65-74 years","65-74","Arizona","04","2025 (provisional)","2025","Female","F",124,438281,28.3,23.3,33.3
,"65-74 years","65-74","Arizona","04","2025 (provisional)","2025","Male","M",220,384471,57.2,49.7,64.8
,"65-74 years","65-74","Arkansas","05","2021","2021","Female","F",94,167567,56.1,45.3,68.6
,"65-74 years","65-74","Arkansas","05","2021","2021","Male","M",164,147855,110.9,93.9,127.9
,"65-74 years","65-74","Arkansas","05","2022","2022","Female","F",132,167300,78.9,65.4,92.4
,"65-74 years","65-74","Arkansas","05","2022","2022","Male","M",162,147414,109.9,93.0,126.8
,"65-74 years","65-74","Arkansas","05","2023","2023","Female","F",123,170494,72.1,59.4,84.9
,"65-74 years","65-74","Arkansas","05","2023","2023","Male","M",176,149645,117.6,100.2,135.0
,"65-74 years","65-74","Arkansas","05","2024","2024","Female","F",133,172450,77.1,64.0,90.2
,"65-74 years","65-74","Arkansas","05","2024","2024","Male","M",172,152029,113.1,96.2,130.0
,"65-74 years","65-74","Arkansas","05","2025 (provisional)","2025","Female","F",148,172450,85.8,72.0,99.6
,"65-74 years","65-74","Arkansas","05","2025 (provisional)","2025","Male","M",200,152029,131.6,113.3,149.8
,"65-74 years","65-74","California","06","2021","2021","Female","F",607,1882333,32.2,29.7,34.8
,"65-74 years","65-74","California","06","2021","2021","Male","M",906,1675680,54.1,50.5,57.6
,"65-74 years","65-74","California","06","2022","2022","Female","F",619,1884494,32.8,30.3,35.4
,"65-74 years","65-74","California","06","2022","2022","Male","M",947,1676394,56.5,52.9,60.1
,"65-74 years","65-74","California","06","2023","2023","Female","F",618,1935241,31.9,29.4,34.5
,"65-74 years","65-74","California","06","2023","2023","Male","M",987,1725734,57.2,53.6,60.8
,"65-74 years","65-74","California","06","2024","2024","Female","F",600,1976844,30.4,27.9,32.8
,"65-74 years","65-74","California","06","2024","2024","Male","M",980,1768632,55.4,51.9,58.9
,"65-74 years","65-74","California","06","2025 (provisional)","2025","Female","F",641,1976844,32.4,29.9,34.9
,"65-74 years","65-74","California","06","2025 (provisional)","2025","Male","M",1039,1768632,58.7,55.2,62.3
,"65-74 years","65-74","Colorado","08","2021","2021","Female","F",75,289868,25.9,20.4,32.4
,"65-74 years","65-74","Colorado","08","2021","2021","Male","M",90,268976,33.5,26.9,41.1
,"65-74 years","65-74","Colorado","08","2022","2022","Female","F",80,291154,27.5,21.8,34.2
,"65-74 years","65-74","Colorado","08","2022","2022","Male","M",110,268885,40.9,33.3,48.6
,"65-74 years","65-74","Colorado","08","2023","2023","Female","F",76,299431,25.4,20.0,31.8
,"65-74 years","65-74","Colorado","08","2023","2023","Male","M",117,275613,42.5,34.8,50.1
,"65-74 years","65-74","Colorado","08","2024","2024","Female","F",68,305043,22.3,17.3,28.3
,"65-74 years","65-74","Colorado","08","2024","2024","Male","M",118,280635,42.0,34.5,49.6
,"65-74 years","65-74","Colorado","08","2025 (provisional)","2025","Female","F",59,305043,19.3,14.7,24.9
,"65-74 years","65-74","Colorado","08","2025 (provisional)","2025","Male","M",83,280635,29.6,23.6,36.7
,"65-74 years","65-74","Connecticut","09","2021","2021","Female","F",52,200274,26.0,19.4,34.0
,"65-74 years","65-74","Connecticut","09","2021","2021","Male","M",58,178258,32.5,24.7,42.1
,"65-74 years","65-74","Connecticut","09","2022","2022","Female","F",41,200757,20.4,14.7,27.7
,"65-74 years","65-74","Connecticut","09","2022","2022","Male","M",86,179173,48.0,38.4,59.3
,"65-74 years","65-74","Connecticut","09","2023","2023","Female","F",64,207970,30.8,23.7,39.3
,"65-74 years","65-74","Connecticut","09","2023","2023","Male","M",81,186745,43.4,34.4,53.9
,"65-74 years","65-74","Connecticut","09","2024","2024","Female","F",54,213725,25.3,19.0,33.0
,"65-74 years","65-74","Connecticut","09","2024","2024","Male","M",90,192186,46.8,37.7,57.6
,"65-74 years","65-74","Connecticut","09","2025 (provisional)","2025","Female","F",58,213725,27.1,20.6,35.1
,"65-74 years","65-74","Connecticut","09","2025 (provisional)","2025","Male","M",90,192186,46.8,37.7,57.6
,"65-74 years","65-74","Delaware","10","2021","2021","Female","F",16,66689,24.0,13.7,39.0
,"65-74 years","65-74","Delaware","10","2021","2021","Male","M",46,57708,79.7,58.4,106.3
,"65-74 years","65-74","Delaware","10","2022","2022","Female","F",19,68263,27.8,16.8,43.5
,"65-74 years","65-74","Delaware","10","2022","2022","Male","M",37,59012,62.7,44.1,86.4
,"65-74 years","65-74","Delaware","10","2023","2023","Female","F",15,70940,21.1,11.8,34.9
,"65-74 years","65-74","Delaware","10","2023","2023","Male","M",29,61223,47.4,31.7,68.0
,"65-74 years","65-74","Delaware","10","2024","2024","Female","F",23,73397,31.3,19.9,47.0
,"65-74 years","65-74","Delaware","10","2024","2024","Male","M",20,63115,31.7,19.4,48.9
,"65-74 years","65-74","Delaware","10","2025 (provisional)","2025","Female","F",24,73397,32.7,21.0,48.7
,"65-74 years","65-74","Delaware","10","2025 (provisional)","2025","Male","M",25,63115,39.6,25.6,58.5
,"65-74 years","65-74","District of Columbia","11","2021","2021","Female","F",12,28581,42.0,21.7,73.3
,"65-74 years","65-74","District of Columbia","11","2021","2021","Male","M",15,22136,67.8,37.9,111.8
,"65-74 years","65-74","District of Columbia","11","2022","2022","Female","F",Suppressed,28155,Suppressed,Suppressed,Suppressed
,"65-74 years","65-74","District of Columbia","11","2022","2022","Male","M",Suppressed,21820,Suppressed,Suppressed,Suppressed
,"65-74 years","65-74","District of Columbia","11","2023","2023","Female","F",10,28409,35.2,16.9,64.7
,"65-74 years","65-74","District of Columbia","11","2023","2023","Male","M",16,22286,71.8,41.0,116.6
,"65-74 years","65-74","District of Columbia","11","2024","2024","Female","F",Suppressed,28599,Suppressed,Suppressed,Suppressed
,"65-74 years","65-74","District of Columbia","11","2024","2024","Male","M",17,22616,75.2,43.8,120.4
,"65-74 years","65-74","District of Columbia","11","2025 (provisional)","2025","Female","F",12,28599,42.0,21.7,73.3
,"65-74 years","65-74","District of Columbia","11","2025 (provisional)","2025","Male","M",Suppressed,22616,Suppressed,Suppressed,Suppressed
,"65-74 years","65-74","Florida","12","2021","2021","Female","F",398,1386887,28.7,25.9,31.5
,"65-74 years","65-74","Florida","12","2021","2021","Male","M",562,1204371,46.7,42.8,50.5
,"65-74 years","65-74","Florida","12","2022","2022","Female","F",391,1394908,28.0,25.3,30.8
,"65-74 years","65-74","Florida","12","2022","2022","Male","M",568,1207231,47.0,43.2,50.9
,"65-74 years","65-74","Florida","12","2023","2023","Female","F",416,1432877,29.0,26.2,31.8
,"65-74 years","65-74","Florida","12","2023","2023","Male","M",600,1240386,48.4,44.5,52.2
,"65-74 years","65-74","Florida","12","2024","2024","Female","F",398,1470575,27.1,24.4,29.7
,"65-74 years","65-74","Florida","12","2024","2024","Male","M",604,1272980,47.4,43.7,51.2
,"65-74 years","65-74","Florida","12","2025 (provisional)","2025","Female","F",405,1470575,27.5,24.9,30.2
,"65-74 years","65-74","Florida","12","2025 (provisional)","2025","Male","M",667,1272980,52.4,48.4,56.4
,"65-74 years","65-74","Georgia","13","2021","2021","Female","F",365,535218,68.2,61.2,75.2
,"65-74 years","65-74","Georgia","13","2021","2021","Male","M",489,452769,108.0,98.4,117.6
,"65-74 years","65-74","Georgia","13","2022","2022","Female","F",382,539433,70.8,63.7,77.9
,"65-74 years","65-74","Georgia","13","2022","2022","Male","M",501,454824,110.2,100.5,119.8
,"65-74 years","65-74","Georgia","13","2023","2023","Female","F",325,553134,58.8,52.4,65.1
,"65-74 years","65-74","Georgia","13","2023","2023","Male","M",503,467710,107.5,98.1,116.9
,"65-74 years","65-74","Georgia","13","2024","2024","Female","F",402,566563,71.0,64.0,77.9
,"65-74 years","65-74","Georgia","13","2024","2024","Male","M",525,480110,109.3,100.0,118.7
,"65-74 years","65-74","Georgia","13","2025 (provisional)","2025","Female","F",375,566563,66.2,59.5,72.9
,"65-74 years","65-74","Georgia","13","2025 (provisional)","2025","Male","M",546,480110,113.7,104.2,123.3
,"65-74 years","65-74","Hawaii","15","2021","2021","Female","F",15,83936,17.9,10.0,29.5
,"65-74 years","65-74","Hawaii","15","2021","2021","Male","M",22,78686,28.0,17.5,42.3
,"65-74 years","65-74","Hawaii","15","2022","2022","Female","F",10,83896,11.9,5.7,21.9
,"65-74 years","65-74","Hawaii","15","2022","2022","Male","M",25,78339,31.9,20.7,47.1
,"65-74 years","65-74","Hawaii","15","2023","2023","Female","F",18,85931,20.9,12.4,33.1
,"65-74 years","65-74","Hawaii","15","2023","2023","Male","M",35,79946,43.8,30.5,60.9
,"65-74 years","65-74","Hawaii","15","2024","2024","Female","F",12,86146,13.9,7.2,24.3
,"65-74 years","65-74","Hawaii","15","2024","2024","Male","M",33,80335,41.1,28.3,57.7
,"65-74 years","65-74","Hawaii","15","2025 (provisional)","2025","Female","F",17,86146,19.7,11.5,31.6
,"65-74 years","65-74","Hawaii","15","2025 (provisional)","2025","Male","M",23,80335,28.6,18.1,43.0
,"65-74 years","65-74","Idaho","16","2021","2021","Female","F",28,100443,27.9,18.5,40.3
,"65-74 years","65-74","Idaho","16","2021","2021","Male","M",31,96903,32.0,21.7,45.4
,"65-74 years","65-74","Idaho","16","2022","2022","Female","F",26,101884,25.5,16.7,37.4
,"65-74 years","65-74","Idaho","16","2022","2022","Male","M",46,97601,47.1,34.5,62.9
,"65-74 years","65-74","Idaho","16","2023","2023","Female","F",39,105078,37.1,26.4,50.7
,"65-74 years","65-74","Idaho","16","2023","2023","Male","M",47,99935,47.0,34.6,62.5
,"65-74 years","65-74","Idaho","16","2024","2024","Female","F",35,108210,32.3,22.5,45.0
,"65-74 years","65-74","Idaho","16","2024","2024","Male","M",46,102283,45.0,32.9,60.0
,"65-74 years","65-74","Idaho","16","2025 (provisional)","2025","Female","F",35,108210,32.3,22.5,45.0
,"65-74 years","65-74","Idaho","16","2025 (provisional)","2025","Male","M",59,102283,57.7,43.9,74.4
,"65-74 years","65-74","Illinois","17","2021","2021","Female","F",294,666341,44.1,39.1,49.2
,"65-74 years","65-74","Illinois","17","2021","2021","Male","M",415,593505,69.9,63.2,76.7
,"65-74 years","65-74","Illinois","17","2022","2022","Female","F",298,667467,44.6,39.6,49.7
,"65-74 years","65-74","Illinois","17","2022","2022","Male","M",441,593796,74.3,67.3,81.2
,"65-74 years","65-74","Illinois","17","2023","2023","Female","F",314,682990,46.0,40.9,51.1
,"65-74 years","65-74","Illinois","17","2023","2023","Male","M",473,608897,77.7,70.7,84.7
,"65-74 years","65-74","Illinois","17","2024","2024","Female","F",324,696185,46.5,41.5,51.6
,"65-74 years","65-74","Illinois","17","2024","2024","Male","M",484,621850,77.8,70.9,84.8
,"65-74 years","65-74","Illinois","17","2025 (provisional)","2025","Female","F",357,696185,51.3,46.0,56.6
,"65-74 years","65-74","Illinois","17","2025 (provisional)","2025","Male","M",460,621850,74.0,67.2,80.7
,"65-74 years","65-74","Indiana","18","2021","2021","Female","F",203,358303,56.7,48.9,64.4
,"65-74 years","65-74","Indiana","18","2021","2021","Male","M",292,323225,90.3,80.0,100.7
,"65-74 years","65-74","Indiana","18","2022","2022","Female","F",217,360939,60.1,52.1,68.1
,"65-74 years","65-74","Indiana","18","2022","2022","Male","M",268,326272,82.1,72.3,92.0
,"65-74 years","65-74","Indiana","18","2023","2023","Female","F",216,369453,58.5,50.7,66.3
,"65-74 years","65-74","Indiana","18","2023","2023","Male","M",295,333551,88.4,78.3,98.5
,"65-74 years","65-74","Indiana","18","2024","2024","Female","F",198,376970,52.5,45.2,59.8
,"65-74 years","65-74","Indiana","18","2024","2024","Male","M",278,339793,81.8,72.2,91.4
,"65-74 years","65-74","Indiana","18","2025 (provisional)","2025","Female","F",224,376970,59.4,51.6,67.2
,"65-74 years","65-74","Indiana","18","2025 (provisional)","2025","Male","M",325,339793,95.6,85.2,106.0
,"65-74 years","65-74","Iowa","19","2021","2021","Female","F",58,172334,33.7,25.6,43.5
,"65-74 years","65-74","Iowa","19","2021","2021","Male","M",84,163770,51.3,40.9,63.5
,"65-74 years","65-74","Iowa","19","2022","2022","Female","F",65,172830,37.6,29.0,47.9
,"65-74 years","65-74","Iowa","19","2022","2022","Male","M",87,164657,52.8,42.3,65.2
,"65-74 years","65-74","Iowa","19","2023","2023","Female","F",69,177283,38.9,30.3,49.3
,"65-74 years","65-74","Iowa","19","2023","2023","Male","M",89,168692,52.8,42.4,64.9
,"65-74 years","65-74","Iowa","19","2024","2024","Female","F",62,180694,34.3,26.3,44.0
,"65-74 years","65-74","Iowa","19","2024","2024","Male","M",96,172185,55.8,45.2,68.1
,"65-74 years","65-74","Iowa","19","2025 (provisional)","2025","Female","F",84,180694,46.5,37.1,57.6
,"65-74 years","65-74","Iowa","19","2025 (provisional)","2025","Male","M",105,172185,61.0,49.3,72.6
,"65-74 years","65-74","Kansas","20","2021","2021","Female","F",53,152190,34.8,26.1,45.6
,"65-74 years","65-74","Kansas","20","2021","2021","Male","M",84,141988,59.2,47.2,73.2
,"65-74 years","65-74","Kansas","20","2022","2022","Female","F",65,152995,42.5,32.8,54.2
,"65-74 years","65-74","Kansas","20","2022","2022","Male","M",90,142515,63.2,50.8,77.6
,"65-74 years","65-74","Kansas","20","2023","2023","Female","F",61,157312,38.8,29.7,49.8
,"65-74 years","65-74","Kansas","20","2023","2023","Male","M",105,145295,72.3,58.4,86.1
,"65-74 years","65-74","Kansas","20","2024","2024","Female","F",75,160602,46.7,36.7,58.5
,"65-74 years","65-74","Kansas","20","2024","2024","Male","M",88,148100,59.4,47.7,73.2
,"65-74 years","65-74","Kansas","20","2025 (provisional)","2025","Female","F",81,160602,50.4,40.1,62.7
,"65-74 years","65-74","Kansas","20","2025 (provisional)","2025","Male","M",116,148100,78.3,64.1,92.6
,"65-74 years","65-74","Kentucky","21","2021","2021","Female","F",152,251636,60.4,50.8,70.0
,"65-74 years","65-74","Kentucky","21","2021","2021","Male","M",222,224504,98.9,85.9,111.9
,"65-74 years","65-74","Kentucky","21","2022","2022","Female","F",143,252210,56.7,47.4,66.0
,"65-74 years","65-74","Kentucky","21","2022","2022","Male","M",179,224513,79.7,68.0,91.4
,"65-74 years","65-74","Kentucky","21","2023","2023","Female","F",130,256575,50.7,42.0,59.4
,"65-74 years","65-74","Kentucky","21","2023","2023","Male","M",168,227752,73.8,62.6,84.9
,"65-74 years","65-74","Kentucky","21","2024","2024","Female","F",154,260282,59.2,49.8,68.5
,"65-74 years","65-74","Kentucky","21","2024","2024","Male","M",197,230984,85.3,73.4,97.2
,"65-74 years","65-74","Kentucky","21","2025 (provisional)","2025","Female","F",162,260282,62.2,52.7,71.8
,"65-74 years","65-74","Kentucky","21","2025 (provisional)","2025","Male","M",211,230984,91.3,79.0,103.7
,"65-74 years","65-74","Louisiana","22","2021","2021","Female","F",188,251009,74.9,64.2,85.6
,"65-74 years","65-74","Louisiana","22","2021","2021","Male","M",277,220400,125.7,110.9,140.5
,"65-74 years","65-74","Louisiana","22","2022","2022","Female","F",204,251286,81.2,70.0,92.3
,"65-74 years","65-74","Louisiana","22","2022","2022","Male","M",272,219582,123.9,109.2,138.6
,"65-74 years","65-74","Louisiana","22","2023","2023","Female","F",196,255746,76.6,65.9,87.4
,"65-74 years","65-74","Louisiana","22","2023","2023","Male","M",259,223035,116.1,102.0,130.3
,"65-74 years","65-74","Louisiana","22","2024","2024","Female","F",221,259915,85.0,73.8,96.2
,"65-74 years","65-74","Louisiana","22","2024","2024","Male","M",279,226387,123.2,108.8,137.7
,"65-74 years","65-74","Louisiana","22","2025 (provisional)","2025","Female","F",203,259915,78.1,67.4,88.8
,"65-74 years","65-74","Louisiana","22","2025 (provisional)","2025","Male","M",275,226387,121.5,107.1,135.8
,"65-74 years","65-74","Maine","23","2021","2021","Female","F",14,94985,14.7,8.1,24.7
,"65-74 years","65-74","Maine","23","2021","2021","Male","M",33,88154,37.4,25.8,52.6
,"65-74 years","65-74","Maine","23","2022","2022","Female","F",27,96311,28.0,18.5,40.8
,"65-74 years","65-74","Maine","23","2022","2022","Male","M",39,88859,43.9,31.2,60.0
,"65-74 years","65-74","Maine","23","2023","2023","Female","F",24,99405,24.1,15.5,35.9
,"65-74 years","65-74","Maine","23","2023","2023","Male","M",31,91022,34.1,23.1,48.3
,"65-74 years","65-74","Maine","23","2024","2024","Female","F",28,101213,27.7,18.4,40.0
,"65-74 years","65-74","Maine","23","2024","2024","Male","M",36,92016,39.1,27.4,54.2
,"65-74 years","65-74","Maine","23","2025 (provisional)","2025","Female","F",34,101213,33.6,23.3,46.9
,"65-74 years","65-74","Maine","23","2025 (provisional)","2025","Male","M",35,92016,38.0,26.5,52.9
,"65-74 years","65-74","Maryland","24","2021","2021","Female","F",76,326915,23.2,18.3,29.1
,"65-74 years","65-74","Maryland","24","2021","2021","Male","M",86,277571,31.0,24.8,38.3
,"65-74 years","65-74","Maryland","24","2022","2022","Female","F",72,329534,21.8,17.1,27.5
,"65-74 years","65-74","Maryland","24","2022","2022","Male","M",107,278747,38.4,31.1,45.7
,"65-74 years","65-74","Maryland","24","2023","2023","Female","F",76,336689,22.6,17.8,28.3
,"65-74 years","65-74","Maryland","24","2023","2023","Male","M",102,286082,35.7,28.7,42.6
,"65-74 years","65-74","Maryland","24","2024","2024","Female","F",96,344218,27.9,22.6,34.1
,"65-74 years","65-74","Maryland","24","2024","2024","Male","M",118,292887,40.3,33.0,47.6
,"65-74 years","65-74","Maryland","24","2025 (provisional)","2025","Female","F",86,344218,25.0,20.0,30.9
,"65-74 years","65-74","Maryland","24","2025 (provisional)","2025","Male","M",119,292887,40.6,33.3,47.9
,"65-74 years","65-74","Massachusetts","25","2021","2021","Female","F",96,386808,24.8,20.1,30.3
,"65-74 years","65-74","Massachusetts","25","2021","2021","Male","M",134,340099,39.4,32.7,46.1
,"65-74 years","65-74","Massachusetts","25","2022","2022","Female","F",106,389007,27.2,22.1,32.4
,"65-74 years","65-74","Massachusetts","25","2022","2022","Male","M",127,342537,37.1,30.6,43.5
,"65-74 years","65-74","Massachusetts","25","2023","2023","Female","F",85,400128,21.2,17.0,26.3
,"65-74 years","65-74","Massachusetts","25","2023","2023","Male","M",142,352645,40.3,33.6,46.9
,"65-74 years","65-74","Massachusetts","25","2024","2024","Female","F",118,408460,28.9,23.7,34.1
,"65-74 years","65-74","Massachusetts","25","2024","2024","Male","M",158,361486,43.7,36.9,50.5
,"65-74 years","65-74","Massachusetts","25","2025 (provisional)","2025","Female","F",97,408460,23.7,19.3,29.0
,"65-74 years","65-74","Massachusetts","25","2025 (provisional)","2025","Male","M",175,361486,48.4,41.2,55.6
,"65-74 years","65-74","Michigan","26","2021","2021","Female","F",244,585660,41.7,36.4,46.9
,"65-74 years","65-74","Michigan","26","2021","2021","Male","M",325,532418,61.0,54.4,67.7
,"65-74 years","65-74","Michigan","26","2022","2022","Female","F",242,588994,41.1,35.9,46.3
,"65-74 years","65-74","Michigan","26","2022","2022","Male","M",323,534287,60.5,53.9,67.0
,"65-74 years","65-74","Michigan","26","2023","2023","Female","F",278,605311,45.9,40.5,51.3
,"65-74 years","65-74","Michigan","26","2023","2023","Male","M",338,549137,61.6,55.0,68.1
,"65-74 years","65-74","Michigan","26","2024","2024","Female","F",287,617907,46.4,41.1,51.8
,"65-74 years","65-74","Michigan","26","2024","2024","Male","M",344,560805,61.3,54.9,67.8
,"65-74 years","65-74","Michigan","26","2025 (provisional)","2025","Female","F",260,617907,42.1,37.0,47.2
,"65-74 years","65-74","Michigan","26","2025 (provisional)","2025","Male","M",397,560805,70.8,63.8,77.8
,"65-74 years","65-74","Minnesota","27","2021","2021","Female","F",52,295793,17.6,13.1,23.1
,"65-74 years","65-74","Minnesota","27","2021","2021","Male","M",83,281394,29.5,23.5,36.6
,"65-74 years","65-74","Minnesota","27","2022","2022","Female","F",62,299229,20.7,15.9,26.6
,"65-74 years","65-74","Minnesota","27","2022","2022","Male","M",90,285488,31.5,25.3,38.7
